FOLIO,NOMBRE COMERCIAL,Directorio,REPRESENTANTE LEGAL,DOMICILIO,MUNICIPIO,NOMBRE(S),ENTREGA,VIGENCIA,Acerca,QUEJAS Y DENUNCIAS,FOTO
SDE/COL/REAI/024,BRAYAL SERVICIOS INMOBILIARIOS,,,"LEONILO CHÁVEZ ORTIZ 175 L-10, ESMERALDA, COLIMA",COLIMA,SDE/COL/REAI/024-039 - DIANA PATRICIA ÁLVAREZ HERRERA,24/06/2024,24/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5841ac235_024_BRAYAL_SERVICIOS_INMOBILIARIOS.jpg
SDE/COL/REAI/025,PACIFIC AGENCIA INMOBILIARIA,,,"AV. PASEO DE LAS GAVIOTAS 467, COL. SOLEARES, MANZANILLO",MANZANILLO,SDE/COL/REAI/025-040 - PEDRO ALEJANDRO MAGAÑA RODRIGUEZ,20/09/2024,20/09/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5843ef0e4_025_PACIFIC_AGENCIA_INMOBILIARIA.jpg
SDE/COL/REAI/026,SOLUCIONES INMOBILIARIAS 1-2-3,,,"AMADO NERVO 478, COL. NUEVO SALAGUA, MANZANILLO",MANZANILLO,SDE/COL/REAI/026-041 - ADRIANA CABRERA ARELLANO,29/10/2024,29/10/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d58460d887_026_SOLUCIONES_INMOBILIARIAS_1_2_3.png
SDE/COL/REAI/027,OCHOA REAL ESTATE SERVICES,,,"LLUVIA DE ORO 57, COL. ARBOLEDAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/027-042 - BRENDA NOEMI OCHOA RAMÍREZ,29/10/2024,29/10/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d58484f67f_027_OCHOA_REAL_ESTATE_SERVICES.jpg
SDE/COL/REAI/028,GC SERVICIOS INMOBILIARIOS,,,"CALLE 10 #16, FRAC. GUACAMAYAS II, MANZANILLO",MANZANILLO,SDE/COL/REAI/028-043 - LUIS MARCELINO VELAZQUEZ ESCALANTE,29/10/2024,29/10/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d584a94e85_028_GC_SEVICIOS_INMOBILIARIOS.jpeg
SDE/COL/REAI/029,MAYA BIENES RAICES,,,"NARANJO 29, COL. VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/029-044 - MARÍA GUADALUPE MARTÍNEZ MAYA           SDE/COL/REAI/029-075 - MARÍA GUADALUPE CAMPOS MARES   SDE/COL/REAI/029-044 - -ANA KAREN MARTÍNEZ INFANTE,20/09/2024,20/09/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d66115fb55_49_mayabienesyraices.jpg
SDE/COL/REAI/030,INMOBILIARIA COLDWELL BANKER COLIMAR,,AMAYA BIELSA TORRE,"AV. AUDIENCIA 48 L-11B, PENÍNSULA DE SANTIAGO, MANZANILLO",MANZANILLO,"SDE/COL/REAI/030-045 - AMAYA BIELSA TORRE SDE/COL/REAI/030-046 MARÍA DE LA LUZ LÓPEZ DE ARRIAGA CANDIANI",29/10/2024,29/10/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5f398d4df_030_COLDWELL_BANKER_COLIMAR.jpeg
SDE/COL/REAI/031,M & G AGENTES INMOBILIARIOS,,LORENA RUBI MAGAÑA HEREDIA,"PEDRO NUÑEZ 553 L-1, SALAGUA, MANZANILLO",MANZANILLO,"SDE/COL/REAI/031-047-  LORENA RUBI MAGAÑA HEREDIA SDE/COL/REAI/031-048 - LADISLAO REYES LUNA SDE/COL/REAI/031-049 -  FRANCISCO JAVER MEJÍA JIMÉNEZ",20/09/2024,20/09/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d584cd42f7_031_M__G_AGENTES_INMOBILIARIOS.jpeg
SDE/COL/REAI/032,ANDRADE + LÓPEZ ARQUITECTOS,,MA. IRMA LÓPEZ TORRES,"LÓPEZ MATEOS 99, TAPEIXTLES, MANZANILLO",MANZANILLO,"SDE/COL/REAI/032-050 - MA. IRMA LÓPEZ TORRES SDE/COL/REAI/032-051 -  JUAN CARLOS ANDRADE MEDINA SDE/COL/REAI/032-052 -  ETHAN CARLO ANDRADE LÓPEZ",29/10/2024,29/10/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d584f3df40_032_ANDRADE__LOPEZ_ARQUITECTOS.jpeg
SDE/COL/REAI/033,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d62388641d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro_1.png
